name,category,maker,impa_code,issa_code,oem_number,equipment,specs,aliases,alt_oem
ТНВД MaK M32,fuel_equipment,Caterpillar (MaK),,,,MaK 6M32,"{""subtype"": ""injection_pump"", ""num_status"": ""representative""}",,
Форсунка HiMSEN H21/32,fuel_equipment,HHI-EMD (HiMSEN),,,,HiMSEN 6H21/32,"{""subtype"": ""injector"", ""num_status"": ""representative""}",,
Фильтроэлемент топливный Racor 2040,fuel_equipment,Parker Racor,,,2040PM-OR,Сепаратор топлива Racor 900/1000,"{""subtype"": ""fuel_filter"", ""num_status"": ""representative""}",racor 2040;фильтр топливный,
Фильтроэлемент топливный Bosch,fuel_equipment,Bosch,,,F026402067,Топливная система (фильтр),"{""subtype"": ""fuel_filter"", ""num_status"": ""representative""}",fuel filter,
Винтовой насос IMO AB ACE 032N2,pump,IMO AB,,,ACE 032N2 NTBP,Система топливоперекачки / смазки,"{""subtype"": ""screw_pump"", ""num_status"": ""representative""}",imo pump;трёхвинтовой насос,
Винтовой насос IMO AB ACG 052,pump,IMO AB,,,ACG 052,Система смазки / топлива,"{""subtype"": ""screw_pump"", ""num_status"": ""representative""}",imo pump,
Комплект винтов (screw set) IMO AB ACE 032,pump,IMO AB,,,,Винтовой насос IMO ACE 032,"{""subtype"": ""screw_set"", ""num_status"": ""representative""}",rotor set;роторный комплект,
Комплект idler IMO AB,pump,IMO AB,,,,Винтовой насос IMO,"{""subtype"": ""idler_set"", ""num_status"": ""representative""}",,
Торцевое уплотнение IMO AB ACE,pump,IMO AB,,,,Винтовой насос IMO ACE,"{""subtype"": ""mech_seal"", ""num_status"": ""representative""}",mechanical seal;торцевое уплотнение,
Винтовой насос Allweiler SNH,pump,Allweiler,,,,Топливо/масло (винтовой насос),"{""subtype"": ""screw_pump"", ""num_status"": ""representative""}",,
Комплект винтов Allweiler SPF,pump,Allweiler,,,,Винтовой насос Allweiler SPF,"{""subtype"": ""screw_set"", ""num_status"": ""representative""}",,
Винтовой насос Leistritz L3,pump,Leistritz,,,,Топливоперекачивающий насос,"{""subtype"": ""screw_pump"", ""num_status"": ""representative""}",,
Рабочее колесо (импеллер) Grundfos NK,pump,Grundfos,,,,Центробежный насос Grundfos NK,"{""subtype"": ""impeller"", ""num_status"": ""representative""}",impeller;крыльчатка,
Торцевое уплотнение Grundfos,pump,Grundfos,,,,Центробежный насос Grundfos,"{""subtype"": ""mech_seal"", ""num_status"": ""representative""}",,
Насос Grundfos CR (многоступенчатый),pump,Grundfos,,,,Система пресной воды / бустер,"{""subtype"": ""centrifugal_pump"", ""num_status"": ""representative""}",,
Рабочее колесо Shinko,pump,Shinko Ind.,,,,Судовой центробежный насос Shinko,"{""subtype"": ""impeller"", ""num_status"": ""representative""}",impeller,
Торцевое уплотнение Shinko,pump,Shinko Ind.,,,,Судовой насос Shinko,"{""subtype"": ""mech_seal"", ""num_status"": ""representative""}",,
Вал насоса Shinko,pump,Shinko Ind.,,,,Судовой насос Shinko,"{""subtype"": ""shaft"", ""num_status"": ""representative""}",pump shaft;вал,
Импеллер Naniwa,pump,Naniwa Pump,,,,Судовой центробежный насос Naniwa,"{""subtype"": ""impeller"", ""num_status"": ""representative""}",,
Рабочее колесо DESMI,pump,DESMI,,,,Балластный / охлаждающий насос DESMI,"{""subtype"": ""impeller"", ""num_status"": ""representative""}",,
Торцевое уплотнение DESMI,pump,DESMI,,,,Насос DESMI,"{""subtype"": ""mech_seal"", ""num_status"": ""representative""}",,
Рабочее колесо Iron Pump,pump,Iron Pump,,,,Балластный насос Iron Pump,"{""subtype"": ""impeller"", ""num_status"": ""representative""}",,
Импеллер Teikoku,pump,Teikoku,,,,Грузовой / GS насос Teikoku,"{""subtype"": ""impeller"", ""num_status"": ""representative""}",,
Резиновый импеллер Johnson,pump,Johnson Pump,,,09-1027B-1,Насос забортной воды (охлаждение),"{""subtype"": ""flexible_impeller"", ""num_status"": ""representative""}",impeller;крыльчатка резиновая,
Резиновый импеллер Jabsco,pump,Jabsco,,,920-0001,Насос забортной воды,"{""subtype"": ""flexible_impeller"", ""num_status"": ""representative""}",impeller,
Торцевое уплотнение John Crane Type 21,pump,John Crane,,,T21,Центробежный насос (общего назначения),"{""subtype"": ""mech_seal"", ""num_status"": ""representative""}",mechanical seal;уплотнение type 21,
Кольцо щелевого уплотнения (wear ring),pump,—,,,,Центробежный насос,"{""subtype"": ""wear_ring"", ""num_status"": ""generic""}",wear ring;щелевое кольцо,
Втулка вала (shaft sleeve),pump,—,,,,Центробежный насос,"{""subtype"": ""shaft_sleeve"", ""num_status"": ""generic""}",shaft sleeve;втулка,
Подшипник насоса,pump,—,,,,Центробежный / винтовой насос,"{""subtype"": ""bearing"", ""num_status"": ""generic""}",bearing;подшипник,
Прокладка корпуса насоса,pump,—,,,,Центробежный насос,"{""subtype"": ""gasket"", ""num_status"": ""generic""}",gasket;прокладка,
